timestamp,temp_C,freq_khz,load1,throttle_hex
2026-01-20T19:26:04+00:00,46.1,2400000,3.65,0x0
2026-01-20T19:26:05+00:00,45.0,2400000,3.65,0x0
2026-01-20T19:26:06+00:00,46.1,2400000,3.65,0x0
2026-01-20T19:26:07+00:00,46.1,2400000,3.65,0x0
2026-01-20T19:26:08+00:00,46.6,2400000,4.00,0x0
2026-01-20T19:26:09+00:00,45.5,2400000,4.00,0x0
2026-01-20T19:26:11+00:00,46.6,2400000,4.00,0x0
2026-01-20T19:26:12+00:00,46.1,2400000,4.00,0x0
2026-01-20T19:26:13+00:00,45.5,2400000,4.32,0x0
2026-01-20T19:26:14+00:00,45.5,2400000,4.32,0x0
2026-01-20T19:26:15+00:00,47.2,2400000,4.32,0x0
2026-01-20T19:26:16+00:00,46.6,2400000,4.32,0x0
2026-01-20T19:26:17+00:00,46.6,2400000,4.32,0x0
2026-01-20T19:26:18+00:00,46.1,2400000,4.61,0x0
2026-01-20T19:26:19+00:00,46.1,2400000,4.61,0x0
2026-01-20T19:26:20+00:00,46.1,2400000,4.61,0x0
2026-01-20T19:26:21+00:00,46.1,2400000,4.61,0x0
2026-01-20T19:26:22+00:00,46.6,2400000,4.61,0x0
2026-01-20T19:26:23+00:00,46.1,2400000,4.89,0x0
2026-01-20T19:26:24+00:00,47.2,2400000,4.89,0x0
2026-01-20T19:26:25+00:00,46.6,2400000,4.89,0x0
2026-01-20T19:26:27+00:00,46.6,2400000,4.89,0x0
2026-01-20T19:26:28+00:00,46.1,2400000,4.89,0x0
2026-01-20T19:26:29+00:00,46.1,2400000,5.78,0x0
2026-01-20T19:26:30+00:00,46.6,2400000,5.78,0x0
2026-01-20T19:26:31+00:00,46.6,2400000,5.78,0x0
2026-01-20T19:26:32+00:00,46.1,2400000,5.78,0x0
2026-01-20T19:26:33+00:00,46.1,2400000,5.95,0x0
2026-01-20T19:26:34+00:00,46.1,2400000,5.95,0x0
2026-01-20T19:26:35+00:00,46.1,2400000,5.95,0x0
2026-01-20T19:26:36+00:00,46.6,2400000,5.95,0x0
2026-01-20T19:26:37+00:00,46.1,2400000,5.95,0x0
2026-01-20T19:26:38+00:00,46.1,2400000,6.12,0x0
2026-01-20T19:26:39+00:00,46.6,2400000,6.12,0x0
2026-01-20T19:26:40+00:00,46.6,2400000,6.12,0x0
2026-01-20T19:26:41+00:00,46.6,2400000,6.12,0x0
2026-01-20T19:26:42+00:00,46.6,2400000,6.12,0x0
2026-01-20T19:26:44+00:00,46.6,2400000,6.27,0x0
